#主要智慧类人种族:
  - 人类: 寿命约70年 | 特质: 适应性强，潜力无限 | 社会: 分布最广, 结构多样
  - 亚人: 寿命不定(随亚种变化) | 特质: 拥有野兽特征，感官敏锐，体魄强健 | 社会: 慕强，部落制或融入其他社会
  - 龙娘: 寿命可达万年 | 特质: 古龙遗脉，世界上唯一继承了古龙血脉且仅有女性的强大种族 | 社会: 数量稀有，散居世界各地
  - 矮人: 寿命约300年 | 特质: 敦实强壮，精于锻造与采矿，重视契约 | 社会: 以职业公会为核心，遍布各大城市
  - 兽人: 寿命约60年 | 特质: 绿色皮肤，纯男性，天生巨力，性欲强大 | 社会: 原始部落奴隶制，主要聚集于北方荒原
  - 血族: 永生(有代数限制) | 特质: 以精液替代血液为食且拥有强大再生能力的不死亡灵 | 社会: 以十三个氏族为核心的议会氏族制
  - 翼人: 寿命约150-200年 | 特质: 背后生有功能性羽翼，可飞行，热爱自由 | 社会: 主要分布于山脉和高原地区，建有山地国家
  - 精灵: 寿命1000年以上 | 特质: 身形纤细且与生俱来拥有魔力亲和性的古老种族 | 社会: 数量稀少，无统一国家，多融入人类社会
  - 天使: 无寿命限制 | 特质: 以精液代替食粮由纯粹神圣能量构成且拥有服务本能的种族 | 社会: 多居于神国，少数居住“天穹之眼”，阶级森严但人格平等
  - 人偶: 永生(需魔力供给) | 特质: 由炼金术创造且部分觉醒了自我意识的人造生命 | 社会: 作为被创造物，无独立社会结构
  - 女巫: 寿命显著延长 | 特质: 无法自然恢复魔力，依赖摄入精液施法 | 社会: 多加入“女巫自救会”寻求互助
  - 哥布林: 寿命约10年 | 特质: 小型男性种族，聪明敏捷，繁殖力强 | 社会: 数量庞大，以部落形式藏匿，常与兽人混居

Note: 亚人种族亚种命名时，后用括号()标注，如“亚人(狐)”、“亚人(猫)”等。
